"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"20","RL",4.26267987704132,9.32375833901174,"Reg","Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","Absent",0,"TA","TA","CBlock","TA","TA","No","Rec",6.81014245011514,"Unf",4.90527477843843,1040,"Ex","Y","SBrkr",6.94793706861497,0,6.94793706861497,1,0,1,0,3,1,"TA",5,0,"Absent","Detchd",1,"Unf",1,384,"TA","TA","Y",0,0,0,0,"Absent","2","2008","WD","Normal",129500
"60","RL",4.45434729625351,9.38639231575654,"IR1","Lvl","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",5.65948221575962,"Ex","TA","PConc","Ex","TA","No","GLQ",6.90675477864855,"Unf",5.18178355029209,1175,"Ex","Y","SBrkr",7.07580886397839,1142,7.75147531802146,1,0,3,0,4,1,"Ex",11,2,"Gd","BuiltIn",1,"Fin",3,736,"TA","TA","Y",4.99721227376411,3.09104245335832,0,0,"Absent","7","2006","New","Partial",345000
"20","RL",4.27666611901606,9.47031717333574,"IR2","Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","Absent",0,"TA","TA","CBlock","TA","TA","No","ALQ",6.60394382460047,"Unf",5.17048399503815,912,"TA","Y","SBrkr",6.81673588059497,0,6.81673588059497,1,0,1,0,2,1,"TA",4,0,"Absent","Detchd",1,"Unf",1,352,"TA","TA","Y",4.94875989037817,0,0,5.17614973257383,"Absent","9","2008","WD","Normal",144000
"20","RL",4.52178857704904,9.2735968216112,"IR1","Lvl","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",5.7268477475872,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",7.30988148582479,1494,"Ex","Y","SBrkr",7.30988148582479,0,7.30988148582479,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",1,"RFn",3,840,"TA","TA","Y",5.08140436498446,3.52636052461616,0,0,"Absent","8","2007","New","Partial",279500
"20","RL",4.30406509320417,9.29844282019773,"IR1","Lvl","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",5.36129216570943,"TA","TA","CBlock","TA","TA","No","BLQ",6.59850902861452,"Unf",6.25575004175337,1253,"TA","Y","SBrkr",7.13409372119287,0,7.13409372119287,1,0,1,1,2,1,"TA",5,1,"Fa","Attchd",1,"RFn",1,352,"TA","TA","Y",0,5.36597601502185,5.17614973257383,0,"GdWo","5","2008","WD","Normal",157000
"45","RM",3.95124371858143,8.71948076085107,"Reg","Lvl","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","Absent",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.72503364216684,832,"Ex","Y","FuseA",6.75110146893676,0,6.75110146893676,0,0,1,0,2,1,"TA",5,0,"Absent","Detchd",1,"Unf",2,576,"TA","TA","Y",3.89182029811063,4.72738781871234,0,0,"GdPrv","7","2007","WD","Normal",132000
"20","RL",4.30406509320417,9.32741204356202,"IR1","Lvl","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",5.19849703126583,"TA","TA","CBlock","TA","TA","No","ALQ",6.361302477573,"Unf",6.05678401322862,1004,"Ex","Y","SBrkr",6.91274282049318,0,6.91274282049318,1,0,1,0,2,1,"TA",5,1,"TA","Attchd",1,"Fin",2,480,"TA","TA","Y",0,0,0,0,"Absent","3","2010","WD","Normal",149000
"90","RL",4.29045944114839,9.28656039788759,"Reg","Lvl","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","Slab","Absent","Absent","Absent","Absent",0,"Absent",0,0,"TA","Y","SBrkr",7.16780918431644,0,7.16780918431644,0,0,2,0,2,2,"TA",6,0,"Absent","CarPort",1,"Unf",2,516,"TA","TA","Y",0,0,0,0,"Absent","10","2006","WD","Normal",90000
"20","RL",4.20469261939097,9.52485909838152,"Reg","Lvl","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","Absent",0,"TA","TA","PConc","TA","TA","No","GLQ",6.4723462945009,"Unf",6.15060276844628,1114,"Ex","Y","SBrkr",7.01660968389422,0,7.01660968389422,1,0,1,1,3,1,"Gd",6,0,"Absent","Detchd",1,"Unf",2,576,"TA","TA","Y",0,4.63472898822964,0,0,"Absent","6","2008","WD","Normal",159000
"20","RL",4.26267987704132,8.93075873555827,"Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","Absent",0,"TA","TA","CBlock","TA","TA","No","LwQ",6.22455842927536,"Unf",6.26530121273771,1029,"TA","Y","SBrkr",7.20042489294496,0,7.20042489294496,0,0,1,0,3,1,"TA",6,0,"Absent","Attchd",1,"Unf",1,294,"TA","TA","Y",0,0,0,0,"MnPrv","5","2009","COD","Abnorml",139000
"60","RL",4.62497281328427,9.56212336983449,"IR1","Lvl","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",5.9427993751267,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.05531284333975,1158,"Ex","Y","SBrkr",7.05531284333975,1218,7.77359446736019,0,0,3,1,4,1,"Gd",9,1,"Gd","BuiltIn",1,"RFn",3,853,"TA","TA","Y",5.48479693349065,5.04342511691925,0,0,"Absent","11","2006","New","Partial",325300
"45","RM",4.06044301054642,8.9159693113736,"Reg","Bnk","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","Absent",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",6.45833828334479,637,"Ex","Y","FuseF",7.01121398735037,0,7.01121398735037,0,0,1,0,3,1,"Gd",6,1,"Gd","Attchd",1,"Unf",1,280,"TA","TA","N",0,0,5.32787616878958,0,"GdPrv","6","2007","WD","Normal",139400
"20","RL",4.33073334028633,9.18430435742534,"Reg","Lvl","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",5.64190707093811,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.48324441607385,1777,"Ex","Y","SBrkr",7.49331724886215,0,7.49331724886215,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",1,"RFn",2,534,"TA","TA","Y",5.14749447681345,5.07517381523383,0,0,"Absent","9","2008","WD","Normal",230000
"120","RM",3.80666248977032,8.34877453979127,"Reg","Lvl","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","Absent",0,"TA","TA","PConc","Gd","TA","No","GLQ",6.73459165997295,"Unf",5.30330490805908,1040,"TA","Y","SBrkr",6.96696713861398,0,6.96696713861398,1,0,1,0,3,1,"TA",6,1,"TA","Attchd",1,"Unf",2,572,"TA","TA","Y",4.61512051684126,4.70953020131233,0,0,"Absent","6","2007","WD","Normal",129900
"20","RL",4.27666611901606,9.01760477683336,"IR1","Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","Absent",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",5.24174701505964,"ALQ",5.32300997913841,1060,"Ex","Y","SBrkr",6.96696713861398,0,6.96696713861398,1,0,1,0,3,1,"Gd",6,1,"TA","Attchd",1,"Unf",1,270,"TA","TA","Y",6.00881318544259,4.51085950651685,0,0,"MnPrv","5","2010","WD","Normal",154000
"20","RL",4.70953020131233,9.56317796268366,"Reg","Lvl","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",6.46302945692067,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.35691824235602,1566,"Ex","Y","SBrkr",7.37838371299671,0,7.37838371299671,0,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",1,"RFn",3,890,"TA","TA","Y",0,4.04305126783455,0,0,"Absent","7","2009","WD","Normal",256300
"20","RL",4.11087386417331,8.88197518424887,"Reg","Lvl","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","Absent",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",5.45958551414416,"Rec",5.19849703126583,900,"TA","Y","SBrkr",6.80350525760834,0,6.80350525760834,0,1,1,0,3,1,"Gd",5,0,"Absent","Detchd",1,"Unf",2,576,"TA","TA","Y",5.40717177146012,3.49650756146648,0,0,"Absent","5","2010","WD","Normal",134800
"20","RL",4.59511985013459,9.3482745580655,"Reg","Lvl","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",5.30330490805908,"Gd","TA","PConc","Ex","TA","No","GLQ",7.10578612948127,"Unf",6.18826412308259,1704,"Ex","Y","SBrkr",7.44132038971762,0,7.44132038971762,1,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",1,"RFn",3,772,"TA","TA","Y",0,3.93182563272433,0,0,"Absent","5","2010","WD","Normal",306000
"20","RL",3.87120101090789,9.70026917002919,"IR1","Lvl","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",7.15305163493748,"Unf",5.33753807970132,1484,"TA","Y","SBrkr",7.37838371299671,0,7.37838371299671,1,0,1,0,2,1,"TA",6,2,"Gd","Attchd",1,"RFn",1,319,"TA","TA","Y",5.66642668811243,5.55682806169954,0,0,"Absent","12","2006","WD","Normal",207500
"30","RM",4.11087386417331,8.75226531359572,"IR1","Lvl","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.25575004175337,520,"Fa","N","SBrkr",6.25575004175337,0,6.25575004175337,0,0,1,0,1,1,"Fa",4,0,"Absent","Detchd",1,"Unf",1,240,"Fa","TA","Y",3.91202300542815,0,4.47733681447821,0,"Absent","5","2008","WD","Normal",68500
"70","C",3.93182563272433,9.04793908261736,"Reg","Lvl","Inside","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace","Absent",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",6.47697236288968,649,"TA","N","SBrkr",6.47697236288968,668,7.18387071506245,0,0,1,0,3,1,"TA",6,0,"Absent","Detchd",1,"Unf",1,250,"TA","Fa","N",0,4.00733318523247,5.15329159449778,0,"MnPrv","7","2008","WD","Normal",40000
"20","RL",4.27666611901606,9.05310159554969,"IR1","Lvl","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","Absent",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",7.11395610956603,1228,"Gd","Y","SBrkr",7.11395610956603,0,7.11395610956603,0,0,1,1,3,1,"Gd",6,0,"Absent","Attchd",1,"Unf",1,271,"TA","TA","Y",0,4.18965474202643,0,0,"MnPrv","6","2008","WD","Normal",149350
"20","RL",4.45434729625351,9.3101857069459,"Reg","Lvl","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Absent",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.11882624906208,1234,"Ex","Y","SBrkr",7.11882624906208,0,7.11882624906208,0,0,2,0,3,1,"Gd",7,0,"Absent","Attchd",1,"RFn",2,484,"TA","TA","Y",0,3.43398720448515,0,0,"Absent","1","2008","WD","Normal",179900
"20","RL",4.26267987704132,9.26416545867109,"IR1","Lvl","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","Absent",0,"TA","TA","CBlock","TA","TA","No","Rec",6.92657703322272,"Unf",5.9427993751267,1398,"Gd","Y","SBrkr",7.43897159239586,0,7.43897159239586,0,1,1,1,4,1,"Gd",6,1,"Gd","Attchd",1,"RFn",2,447,"TA","TA","Y",0,3.66356164612965,0,0,"Absent","4","2010","WD","Normal",165500
"120","RL",4.11087386417331,8.89754559870933,"Reg","Lvl","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",5.50938833662798,"Ex","TA","PConc","Ex","TA","No","GLQ",7.05098944706805,"Unf",6.0137151560428,1561,"Ex","Y","SBrkr",7.35372233039963,0,7.35372233039963,1,0,2,0,2,1,"Ex",6,1,"Gd","Attchd",1,"Fin",2,556,"TA","TA","Y",5.31811999384422,3.87120101090789,0,0,"Absent","8","2007","WD","Normal",277500
"60","RL",4.69134788222914,9.50442689210096,"Reg","Lvl","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",4.89034912822175,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.01929665371504,1117,"Ex","Y","SBrkr",7.03262426102801,1320,7.80506704425849,0,0,3,1,4,1,"Gd",9,1,"Gd","BuiltIn",1,"Fin",3,691,"TA","TA","Y",4.7361984483945,3.49650756146648,0,0,"Absent","9","2006","WD","Normal",309000
"20","RL",4.72738781871234,9.29284159348793,"Reg","Lvl","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","Absent",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.00124562206948,1097,"Ex","Y","SBrkr",7.00124562206948,0,7.00124562206948,0,0,1,1,3,1,"TA",6,0,"Absent","Attchd",1,"Unf",2,672,"TA","TA","Y",5.97380961186926,4.17438726989564,0,0,"Absent","6","2009","WD","Normal",145000
"20","RL",4.31748811353631,9.05169627853659,"Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",6.47850964220857,"TA","TA","CBlock","TA","TA","No","Rec",7.10167597161944,"Unf",4.44265125649032,1297,"Gd","Y","SBrkr",7.16857989726403,0,7.16857989726403,0,1,1,0,3,1,"TA",5,1,"TA","Attchd",1,"Fin",2,498,"TA","TA","Y",0,0,0,0,"Absent","10","2009","WD","Normal",153000
"20","RL",4.23410650459726,8.97752520096524,"Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","Absent",0,"TA","Gd","CBlock","TA","TA","No","GLQ",6.59578051396131,"Unf",5.78996017089725,1057,"TA","Y","SBrkr",6.96413561241824,0,6.96413561241824,1,0,1,0,3,1,"Gd",5,0,"Absent","Detchd",1,"Unf",1,246,"TA","TA","Y",0,3.97029191355212,0,0,"Absent","1","2010","WD","Abnorml",109000
"90","RL",4.18965474202643,8.70632484013874,"Reg","Lvl","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","Absent",0,"TA","TA","PConc","Absent","Absent","Absent","Absent",0,"Absent",0,0,"TA","N","FuseP",7.05012252026906,0,7.05012252026906,0,0,2,0,2,2,"Fa",6,0,"Absent","Absent",0,"Absent",0,0,"Absent","Absent","N",0,0,0,0,"Absent","6","2008","WD","AdjLand",82000
"20","RL",4.44265125649032,9.0663545214478,"Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",4.62497281328427,"TA","TA","CBlock","TA","TA","No","Rec",6.46769872610435,"Unf",6.10031895202006,1088,"Ex","Y","SBrkr",7.18916773842032,0,7.18916773842032,0,0,2,0,3,1,"TA",6,1,"TA","Attchd",1,"RFn",2,440,"TA","TA","Y",0,4.93447393313069,0,0,"GdWo","12","2006","WD","Abnorml",160000
"20","RL",4.75359019110636,9.73542386748887,"Reg","Lvl","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","Absent",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",6.87523208727658,"Unf",5.95064255258773,1350,"Gd","Y","SBrkr",7.19218205871325,0,7.19218205871325,0,1,1,1,2,1,"TA",5,2,"Gd","Attchd",1,"RFn",1,308,"TA","TA","P",0,4.65396035015752,0,0,"Absent","7","2007","WD","Normal",170000
"85","RL",4.21212759787848,9.1248914101437,"IR1","Lvl","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","Absent",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",6.61740297797448,"LwQ",0,840,"Gd","Y","SBrkr",6.78558764500793,0,6.78558764500793,1,0,1,0,2,1,"Gd",5,0,"Absent","Attchd",1,"RFn",2,504,"TA","Gd","Y",5.48479693349065,0,0,0,"MnPrv","12","2007","WD","Normal",144000
"20","RL",4.26267987704132,9.12706745278236,"IR1","Lvl","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","Absent",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",5.63835466933375,"BLQ",5.12396397940326,938,"TA","Y","SBrkr",6.84481547920826,0,6.84481547920826,1,0,1,0,3,1,"TA",5,0,"Absent","Detchd",1,"Unf",1,308,"TA","TA","Y",4.98360662170834,0,0,0,"MnPrv","7","2008","WD","Normal",130250
"20","RL",4.26267987704132,8.98042393637454,"Reg","Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","Absent",0,"TA","TA","CBlock","TA","TA","No","ALQ",5.19295685089021,"BLQ",6.14418563412565,1150,"Ex","Y","FuseA",7.04838640872188,0,7.04838640872188,1,0,1,0,3,1,"TA",6,0,"Absent","Attchd",1,"RFn",1,300,"TA","TA","Y",0,0,0,0,"Absent","5","2006","WD","Normal",141000
"120","RL",4.12713438504509,8.94363670590959,"Reg","Lvl","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",6.02344759296103,"Ex","TA","PConc","Ex","TA","No","GLQ",6.12468339089421,"Unf",7.16780918431644,1752,"Ex","Y","SBrkr",7.46908388492123,0,7.46908388492123,1,0,2,0,2,1,"Ex",6,1,"Gd","Attchd",1,"RFn",2,576,"TA","TA","Y",5.28320372873799,4.4188406077966,0,0,"Absent","2","2010","WD","Normal",319900
"50","RL",3.89182029811063,9.45899571245912,"IR1","Lvl","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","Absent",0,"Gd","TA","PConc","Ex","TA","No","GLQ",7.20934025660291,"Unf",4.43081679884331,1434,"Ex","Y","SBrkr",7.32580750259577,631,7.67322312112171,1,0,1,1,1,1,"Gd",6,1,"Ex","Attchd",1,"RFn",2,670,"TA","TA","Y",5.12989871492307,3.78418963391826,0,5.29330482472449,"Absent","8","2009","WD","Abnorml",239686
"20","FV",4.44265125649032,9.31443008050056,"Reg","Lvl","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","Absent",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",3.2188758248682,"Unf",7.39817409297047,1656,"Ex","Y","SBrkr",7.41276401742656,0,7.41276401742656,0,0,2,0,3,1,"Gd",7,0,"Absent","Attchd",1,"RFn",3,826,"TA","TA","Y",0,4.99043258677874,0,0,"Absent","7","2007","WD","Normal",249700
"190","RM",3.52636052461616,8.40223117294656,"Reg","Lvl","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","Absent",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.60258789218934,736,"Gd","Y","SBrkr",6.60258789218934,716,7.28138566357028,0,0,2,0,2,3,"TA",8,0,"Absent","Absent",0,"Absent",0,0,"Absent","Absent","N",0,0,4.63472898822964,0,"Absent","6","2009","New","Partial",113000
"20","RL",4.20469261939097,8.95454448838672,"Reg","Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","Absent",0,"TA","TA","CBlock","TA","TA","No","BLQ",6.63856778916652,"Unf",5.26269018890489,955,"Ex","Y","SBrkr",6.8627579130514,0,6.8627579130514,1,0,1,0,3,1,"TA",6,0,"Absent","Attchd",1,"Unf",1,386,"TA","TA","Y",0,0,0,0,"MnPrv","1","2007","WD","Normal",127000
